query,iter,python_ms,postgres_ms
10a,1,1653.232,20760.88
10b,1,1792.991,18869.08
10c,1,1668.328,23870.48
11a,1,3318.757,4355.42
11b,1,3157.831,4402.92
11c,1,2858.258,12925.58
11d,1,2896.632,12834.75
12a,1,3350.253,5452.18
12b,1,3305.460,712.38
12c,1,3277.936,9242.03
13a,1,4140.007,9327.27
13b,1,4039.004,3106.37
13c,1,4178.943,3079.54
13d,1,3964.244,12279.32
14a,1,2764.791,18697.83
14b,1,2705.055,10256.12
14c,1,2875.912,26306.92
15a,1,4800.900,14969.60
15b,1,5452.549,43566.11
15c,1,5450.769,46426.64
15d,1,4728.961,126258.07
16a,1,3116.894,202353.38
16b,1,3194.254,468752.52
16c,1,3352.819,37174.09
16d,1,3211.502,252802.41
17a,1,1984.785,218186.54
17b,1,1914.942,571885.91
17c,1,2134.497,188163.09
17d,1,2304.052,34700.90
17e,1,2019.669,61968.40
17f,1,2167.042,196002.41
18a,1,2159.243,83403.94
18b,1,2208.078,11680.99
18c,1,1950.270,84985.28
19a,1,5699.068,33315.70
19b,1,6426.437,34685.79
19c,1,6021.576,120443.92
19d,1,6191.355,48075.56
1a,1,671.774,4341.79
1b,1,726.564,565.23
1c,1,712.434,2879.58
1d,1,722.301,3066.76
20a,1,5112.813,388444.76
20b,1,5307.760,201340.36
20c,1,5231.990,215543.82
21a,1,4543.664,11828.85
21b,1,5418.547,15885.32
21c,1,5107.372,902.92
22a,1,8874.259,22621.32
22b,1,7918.322,19309.52
22c,1,7906.466,27676.28
22d,1,10670.003,31791.09
23a,1,9090.790,28457.40
23b,1,8834.151,15431.88
23c,1,8070.425,23287.19
24a,1,11455.382,28060.61
24b,1,11609.425,629.14
25a,1,4476.357,137903.93
25b,1,4440.980,7944.32
25c,1,4683.698,207043.74
26a,1,11099.793,82993.38
26b,1,9730.503,12547.03
26c,1,10674.220,219930.01
27a,1,13514.231,466.96
27b,1,11545.551,276.09
27c,1,12339.900,817.74
28a,1,16281.513,16892.90
28b,1,16560.647,18635.36
28c,1,16802.998,19078.26
29a,1,27403.778,1427.65
29b,1,26948.438,3791.01
29c,1,25925.392,7800.96
2a,1,631.921,6224.28
2b,1,636.212,10089.75
2c,1,644.472,4799.56
2d,1,638.900,14301.80
30a,1,11117.107,35685.38
30b,1,11017.919,7679.60
30c,1,11217.704,0
31a,1,8845.052,180970.42
31b,1,8738.876,7811.30
31c,1,9555.321,200258.94
32a,1,961.560,127.37
32b,1,982.553,12067.78
33a,1,16343.868,1406.47
33b,1,14789.147,1372.77
33c,1,16430.727,1631.11
3a,1,360.281,15652.96
3b,1,374.256,15022.41
3c,1,335.556,16056.89
4a,1,665.843,4971.98
4b,1,633.183,4871.76
4c,1,698.045,5122.26
5a,1,673.958,1199.90
5b,1,676.831,1374.27
5c,1,629.599,13825.54
6a,1,629.001,176617.62
6b,1,607.873,319172.09
6c,1,613.219,180920.75
6d,1,600.641,172402.10
6e,1,640.298,173206.57
6f,1,540.704,569279.24
7a,1,3202.102,36677.57
7b,1,3153.582,76478.96
7c,1,3560.333,33985.95
8a,1,2080.326,59477.26
8b,1,2124.113,21824.31
8c,1,1881.608,10122.42
8d,1,1843.532,8879.29
9a,1,3021.165,25577.38
9b,1,3077.555,28664.34
9c,1,2863.041,27785.54
9d,1,2672.481,32850.35
